CS1100 Ana Maria 1
CS1100 Fangfei Zhou 1
CS1100 Jeffrey Satterley 4
CS1100 Jesse Anderton 1
CS1100 Jessica Schmidt 3
CS1100 John Casey 5
CS1100 Kristyna Reisberg 2
CS1100 Leena Razzaq 7
CS1100 Martin Schedlbauer 5
CS1100 Maryam Aziz 1
CS1100 Matthew Ekstrand-Abueg 1
CS1100 Patrick Wang 2
CS1100 Peter Douglass 5
CS1100 Peter Golbus 2
CS1100 Richard Rasala 1
CS1100 Robert Futrelle 2
CS1100 Travis Mayberry 3
CS1100 Viera Proulx 1
CS1100 Zachary Donovan 1
CS1200 Aileen Kent 5
CS1200 Barbara Lechner 1
CS1200 John Casey 4
CS1200 Mark Erickson 2
CS1200 Melissa Irgens 2
CS1200 Melissa Peikin 1
CS1200 Wendy Gordon-Hewick 3
CS1210 Aileen Kent 5
CS1210 Melissa Irgens 1
CS1210 Melissa Peikin 3
CS1220 Melvin Simms 4
CS1500 Chinmoy Dutta 2
CS1500 Jose Annunziato 2
CS1500 Peter Douglass 4
CS1500 Virgiliu Pavlu 3
CS1501 Chinmoy Dutta 2
CS1501 Jose Annunziato 1
CS1501 Peter Douglass 6
CS1501 Virgiliu Pavlu 5
CS1800 Harriet Fell 3
CS1800 Javed Aslam 1
CS1800 Peter Golbus 1
CS1800 Rajmohan Rajaraman 3
CS1800 Ravi Sundaram 2
CS1800 Scott Roche 1
CS1800 Timothy Smith 1
CS1801 Harriet Fell 6
CS1801 Javed Aslam 6
CS1801 Rajmohan Rajaraman 6
CS1801 Ravi Sundaram 6
CS2500 Amal Ahmed 2
CS2500 Amy Sliva 1
CS2500 Bryan Chadwick 2
CS2500 David Van 3
CS2500 Jesse Tov 1
CS2500 Leena Razzaq 3
CS2500 Marsette Vona 1
CS2500 Olin Shivers 5
CS2500 Tharpe Strickland 1
CS2501 Bryan Chadwick 1
CS2501 Leena Razzaq 5
CS2501 Olin Shivers 24
CS2501 Tharpe Strickland 1
CS2510 Bryan Chadwick 2
CS2510 David Van 5
CS2510 Matthew Ekstrand-Abueg 1
CS2510 Samuel Tobin-Hochstadt 1
CS2510 Viera Proulx 9
CS2511 Bryan Chadwick 1
CS2511 David Van 13
CS2511 Matthew Ekstrand-Abueg 1
CS2511 Samuel Tobin-Hochstadt 1
CS2511 Viera Proulx 15
CS2600 Gene Cooperman 6
CS2600 John Casey 6
CS2800 Harsh Raju 1
CS2800 Pete Manolios 7
CS2800 Ravi Sundaram 1
CS2800 Thomas Wahl 3
CS2801 Harsh Raju 2
CS2801 Pete Manolios 38
CS2801 Thomas Wahl 3
CS2900 Richard Rasala 1
CS2901 Viera Proulx 1
CS3200 Kathleen Durant 1
CS3200 Kenneth Baclawski 3
CS3200 Mirek Riedewald 3
CS3200 Robert Futrelle 1
CS3500 Carole Hafner 1
CS3500 Jessica Schmidt 1
CS3500 Riccardo Pucella 4
CS3500 Viera Proulx 1
CS3500 William Clinger 7
CS3600 Alan Mislove 4
CS3600 John Casey 3
CS3600 Peter Desnoyers 1
CS3800 Emanuele Viola 4
CS3800 Harriet Fell 1
CS3800 Javed Aslam 1
CS3800 Viera Proulx 1
CS3800 William Clinger 1
CS4000 Raoul Smith 11
CS4000 Richard Rasala 1
CS4100 Carole Hafner 1
CS4100 Gillian Smith 1
CS4100 Magy Seif 1
CS4100 Robert Futrelle 2
CS4300 Gillian Smith 1
CS4300 Harriet Fell 2
CS4300 Magy Seif 1
CS4300 Marsette Vona 2
CS4400 Eliyahu Barzilay 8
CS4410 Amal Ahmed 1
CS4410 Olin Shivers 4
CS4500 Jessica Schmidt 1
CS4500 Karl Lieberherr 1
CS4500 William Clinger 6
CS4510 Viera Proulx 1
CS4520 Siu Pong 2
CS4520 Stephen Intille 3
CS4550 Harriet Fell 2
CS4550 Peter Douglass 2
CS4610 Marsette Vona 3
CS4611 Marsette Vona 3
CS4650 Gene Cooperman 2
CS4700 Alan Mislove 2
CS4700 Christopher Wilson 2
CS4700 Guevara Noubir 3
CS4700 Ravi Sundaram 1
CS4740 Guevara Noubir 5
CS4740 Ravi Sundaram 1
CS4740 William Robertson 2
CS4800 Carl Eastlund 2
CS4800 Harriet Fell 1
CS4800 Karl Lieberherr 5
CS4991 Alan Mislove 1
CS4991 David Van 1
CS4991 William Clinger 1
CS4991 William Robertson 1
CS4992 Carole Hafner 1
