Fall 2010,xyz,Oceans and Coasts,0,4,Peter,Rosen,10001,ENVR1120,114,111,
Fall 2012,xyz,Introduction to Forensic Chemistry,0,4,Ira,Krull,10002,CHEM1107,49,25,
Fall 2011,xyz,Social Entrepreneurship,0,4,Dennis,Shaughnessy,10004,ENTR2206,45,49,
Fall 2012,xyz,Social Entrepreneurship,0,4,Dennis,Shaughnessy,10004,ENTR2206,45,45,
Fall 2012,xyz,Journalism 1,0,4,Jean,Lang,10006,JRNL1101,19,14,
Fall 2012,xyz,Lab for CHEM 1214,0,1,Edward,Witten,10011,CHEM1215,12,9,
Fall 2010,xyz,Interactive Tools,0,1,Seth,Merriam,10013,ARTF2224,18,14,
Fall 2009,xyz,Wind Ensemble,0,1,Allen,Feinstein,10015,MUSC1907,49,22,
Fall 2010,xyz,Lab for CHEM 1214,0,1,Edward,Witten,10015,CHEM1215,12,17,
Fall 2009,xyz,Interactive Tools,0,1,Seth,Merriam,10019,ARTF2224,19,16,
Fall 2012,xyz,Foundations of Tactical Leadership,0,3,Stanley,Wiechnik,10020,ARMY2202,15,3,
Fall 2012,xyz,Financial Management,0,4,Robert,Westwater,10024,FINA2201,40,42,
Fall 2009,xyz,Recitation for CHEM 1214,0,0,Christopher,Toher,10026,CHEM1216,35,34,
Fall 2011,xyz,Recitation for CHEM 1211,0,0,Rein,Kirss,10032,CHEM1213,30,38,
Fall 2012,xyz,Interactive Tools,0,1,Alexander,Turnwall,10032,ARTF2224,15,12,

Fall 2012,xyz,Information Resource Management,0,4,Yang,Lee,10034,MISM3305,40,21,
Fall 2011,xyz,Interactive Tools,0,1,Alexander,Turnwall,10036,ARTF2224,18,18,
Fall 2011,xyz,Information Resource Management,0,4,Peter,Tarasewich,10038,MISM3305,19,20,
Fall 2010,xyz,Interactive Tools,0,1,Seth,Merriam,10040,ARTF2224,18,17,
Fall 2010,xyz,Information Resource Management,0,4,Peter,Tarasewich,10042,MISM3305,40,16,
Fall 2011,xyz,Introduction to the Study of Engineering,0,1,Rachelle,Reisberg,10043,GE1000,35,35,
Fall 2011,xyz,College Writing—SOL (Speakers of Other Languages),0,4,Misty,Woodbury,10049,ENGL1102,15,15,
Fall 2012,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10052,ARTF1125,18,18,
Fall 2012,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10053,ARTF1125,18,17,
Fall 2012,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10054,ARTF1125,18,17,
Fall 2009,xyz,Typography 1,0,4,John,Kane,10055,ARTG2250,15,19,
Fall 2012,xyz,Interactive Tools,0,1,Alexander,Turnwall,10061,ARTF2224,18,19,
Fall 2009,xyz,Interactive Tools,0,1,Seth,Merriam,10062,ARTF2224,19,19,
Fall 2011,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10063,ARTF1125,19,18,
Fall 2011,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10064,ARTF1125,15,15,
Fall 2011,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10065,ARTF1125,18,16,
Fall 2009,xyz,Information Resource Management,0,4,Richard,Mickool,10066,MISM3305,19,13,
Fall 2012,xyz,Enhancing Honors,0,1,Colleen,Cronin,10066,HONR1102,19,14,
Fall 2012,xyz,Enhancing Honors,0,1,Colleen,Cronin,10071,HONR1102,19,13,
Fall 2011,xyz,Interactive Tools,0,1,Alexander,Turnwall,10074,ARTF2224,18,17,
Fall 2010,xyz,College Writing (HON),0,4,Megan,Tarquinio,10075,ENGL1111,19,9,
Fall 2010,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10076,ARTF1125,19,20,
Fall 2010,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10077,ARTF1125,15,18,
Fall 2011,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10077,HONR1102,19,19,
Fall 2010,xyz,3D Tools: Form Basics,0,1,Benjamin,Caras,10078,ARTF1125,18,19,
Fall 2010,xyz,Principles of Microeconomics,0,4,Mykhaylo,Trubskyy,10085,ECON1116,48,43,

Fall 2010,xyz,Lab for CHEM 1214,0,1,Edward,Witten,10088,CHEM1215,16,15,
Fall 2011,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10088,HONR1102,19,19,
Fall 2009,xyz,Film Analysis,0,4,David,Grotell,10089,CINE2150,38,38,
Fall 2010,xyz,Interactive Tools,0,1,Seth,Merriam,10089,ARTF2224,18,17,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10091,HONR1102,19,18,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10092,HONR1102,19,18,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10093,HONR1102,19,16,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10094,HONR1102,19,17,
Fall 2012,xyz,Lab for CHEM 1211,0,1,Edward,Witten,10094,CHEM1212,12,12,
Fall 2011,xyz,Elementary Italian 1,0,4,Riccardo,Binetti,10095,ITLN1101,18,17,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10097,HONR1102,19,18,
Fall 2012,xyz,Calculus 1 for Science and Engineering,0,4,Sungmun,Cho,10097,MATH1341,35,21,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10098,HONR1102,19,18,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10101,HONR1102,19,18,
Fall 2010,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10104,HONR1102,19,18,
Fall 2011,xyz,Calculus 1 for Science and Engineering,0,4,Benjamin,Webster,10110,MATH1341,30,31,
Fall 2012,xyz,Music Composition Seminar 2,0,4,Anthony,Ritis,10121,MUST3422,19,7,
Fall 2012,xyz,Elementary Japanese 1,0,4,Matsuko,Levin,10122,JPNS1101,18,16,
Fall 2010,xyz,Calculus 1 for Science and Engineering,0,4,Leila,Khatami,10133,MATH1341,35,32,
Fall 2012,xyz,Calculus 3 for Science and Engineering,0,4,David,Massey,10133,MATH2321,73,75,
Fall 2009,xyz,College Writing (HON),0,4,Jennifer,Martin,10134,ENGL1111,19,12,
Fall 2009,xyz,2D Tools: Imaging Basics,0,1,Seth,Merriam,10135,ARTF1123,18,18,
Fall 2012,xyz,Lab for PHYS 1155,0,1,Mengxi,Liu,10135,PHYS1156,10,10,
Fall 2009,xyz,2D Tools: Imaging Basics,0,1,Seth,Merriam,10137,ARTF1123,18,18,
Fall 2011,xyz,Music Composition Seminar 2,0,4,John,MacCallum,10137,MUST3422,14,6,
Fall 2009,xyz,3D Tools: Form Basics,0,1,Andrew,Bouchard,10138,ARTF1125,18,17,
Fall 2009,xyz,3D Tools: Form Basics,0,1,Andrew,Bouchard,10139,ARTF1125,18,17,
Fall 2009,xyz,3D Tools: Form Basics,0,1,Andrew,Bouchard,10140,ARTF1125,18,17,
Fall 2012,xyz,Architecture and Global Cultures| Prehistory to 1400,0,4,Deborah,Buelow,10145,ARCH1310,36,22,
Fall 2009,xyz,Principles of Microeconomics,0,4,Robert,Pritchard,10151,ECON1116,49,49,
Fall 2011,xyz,Elementary Chinese 2,0,4,Hua,Dong,10151,CHNS1102,18,11,
Fall 2009,xyz,Principles of Music Literature,0,4,Evan,Johnson,10160,MUSC2308,19,19,
Fall 2011,xyz,Intermediate Japanese 2,0,4,Matsuko,Levin,10160,JPNS2102,18,8,
Fall 2012,xyz,Lab for ENVR 1200,0,1,Malcolm,Hill,10162,ENVR1201,27,20,
Fall 2012,xyz,Dynamic Earth,0,4,Jeremy,Shakun,10163,ENVR1200,60,61,
Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10164,HONR1102,20,14,
Fall 2011,xyz,History of World Architecture 1,0,4,Deborah,Buelow,10164,ARCH1310,36,35,
Fall 2010,xyz,Music Composition Seminar 2,0,4,Michael,Frengel,10165,MUST3422,14,8,
Fall 2012,xyz,Lab for ENVR 3300,0,1,Malcolm,Hill,10165,ENVR3301,19,19,
Fall 2010,xyz,Elementary Japanese 1,0,4,Yuki,Sakurai,10166,JPNS1101,18,17,
Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10167,HONR1102,20,14,
Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10168,HONR1102,20,14,
Fall 2012,xyz,Elementary Japanese 2,0,4,Yuki,Sakurai,10168,JPNS1102,16,10,
Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10169,HONR1102,20,15,
Fall 2010,xyz,Latino| Latin American| and Caribbean Studies,0,4,Anny,Rivera-Ottenberger,10169,LACS1220,27,28,
Fall 2011,xyz,Developmental Psychology,0,4,Dawn,Cisewski,10174,PSYC3404,75,75,
Fall 2009,xyz,Recitation for HONR 1101,0,0,Maureen,Kelleher,10175,HONR1102,20,16,
Fall 2012,xyz,Intermediate Spanish 1,0,4,Maria,Brucato,10176,SPNS2101,18,17,
Fall 2009,xyz,Enhancing Honors,0,1,Maureen,Kelleher,10177,HONR1101,153,148,
